epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,6531.6,0.77764,0.388,1.02986,0.98216,0.96947,0.99185,0.80331,0.7655,0.28708,0.999,0.004885,0.004885,0.004885
64,6635.05,0.7754,0.37954,1.02166,0.98046,0.96997,0.99196,0.80575,0.76504,0.28706,0.99789,0.0048025,0.0048025,0.0048025
65,6738.42,0.77187,0.38193,1.02165,0.98184,0.96947,0.99162,0.80655,0.76226,0.28494,0.99447,0.00472,0.00472,0.00472
66,6841.84,0.77275,0.38118,1.01975,0.97958,0.96947,0.9915,0.80591,0.76102,0.28621,0.99467,0.0046375,0.0046375,0.0046375
67,6945.24,0.77201,0.38171,1.02358,0.97924,0.96896,0.99166,0.80578,0.76107,0.28843,0.99471,0.004555,0.004555,0.004555
68,7048.52,0.76911,0.37858,1.02256,0.97942,0.96997,0.99141,0.80613,0.76229,0.2893,0.99397,0.0044725,0.0044725,0.0044725
69,7152.88,0.76473,0.37664,1.01511,0.97801,0.97322,0.99164,0.80805,0.76248,0.28801,0.99209,0.00439,0.00439,0.00439
70,7256.16,0.76379,0.37243,1.01698,0.9777,0.9715,0.99152,0.80792,0.76292,0.28716,0.99232,0.0043075,0.0043075,0.0043075
71,7360.01,0.76566,0.37464,1.01736,0.97942,0.96868,0.99143,0.80787,0.76285,0.28523,0.99091,0.004225,0.004225,0.004225
72,7464.73,0.75955,0.37064,1.00976,0.9805,0.96794,0.99161,0.80811,0.76106,0.28451,0.98909,0.0041425,0.0041425,0.0041425
73,7568.56,0.7621,0.37052,1.01803,0.97678,0.97506,0.99208,0.80933,0.76051,0.28282,0.99025,0.00406,0.00406,0.00406
74,7671.91,0.75657,0.37164,1.01099,0.97159,0.97913,0.99226,0.808,0.76155,0.28213,0.99036,0.0039775,0.0039775,0.0039775
75,7775.96,0.75958,0.36923,1.00958,0.98265,0.96794,0.99215,0.80621,0.76205,0.28221,0.9886,0.003895,0.003895,0.003895
76,7880.8,0.75399,0.37002,1.00871,0.98464,0.96692,0.99198,0.80611,0.76203,0.28228,0.98808,0.0038125,0.0038125,0.0038125
77,7989.03,0.75858,0.36586,1.00939,0.98393,0.96617,0.99191,0.80731,0.76213,0.28127,0.9874,0.00373,0.00373,0.00373
78,8097.92,0.75164,0.36414,1.00754,0.97344,0.9771,0.99178,0.80866,0.76129,0.28107,0.98654,0.0036475,0.0036475,0.0036475
79,8204.16,0.74942,0.36268,1.00497,0.97364,0.97863,0.99181,0.80773,0.76053,0.28047,0.9856,0.003565,0.003565,0.003565
80,8307.5,0.74156,0.36077,1.0033,0.97325,0.97863,0.99188,0.80792,0.76067,0.28006,0.98633,0.0034825,0.0034825,0.0034825
81,8410.54,0.75162,0.36252,1.01322,0.97413,0.97715,0.99199,0.80742,0.76035,0.28024,0.98682,0.0034,0.0034,0.0034
82,8513.17,0.75542,0.36152,1.01794,0.97517,0.97608,0.99195,0.8074,0.76077,0.28038,0.98774,0.0033175,0.0033175,0.0033175
83,8616.48,0.73792,0.35869,1.00386,0.97559,0.97616,0.99166,0.80828,0.761,0.28015,0.9878,0.003235,0.003235,0.003235
84,8719.78,0.74316,0.35694,1.01423,0.97506,0.97491,0.99165,0.80805,0.76055,0.28046,0.98841,0.0031525,0.0031525,0.0031525
85,8821.55,0.7423,0.35602,1.00495,0.97617,0.97354,0.99172,0.80826,0.76045,0.28156,0.9885,0.00307,0.00307,0.00307
86,8924.97,0.73875,0.35454,1.00497,0.9743,0.97354,0.99179,0.8086,0.7608,0.28074,0.98934,0.0029875,0.0029875,0.0029875
87,9027.57,0.74235,0.35309,1.00504,0.97979,0.97099,0.99184,0.80809,0.76143,0.28086,0.98962,0.002905,0.002905,0.002905
88,9130.03,0.73684,0.34815,1.00607,0.97847,0.97147,0.99183,0.80888,0.76229,0.28088,0.9899,0.0028225,0.0028225,0.0028225
89,9232.78,0.72645,0.349,1.00508,0.97649,0.97245,0.99188,0.80819,0.76271,0.27985,0.99041,0.00274,0.00274,0.00274
90,9335.78,0.72884,0.34902,1.00826,0.97529,0.97303,0.99193,0.80773,0.76367,0.27975,0.99198,0.0026575,0.0026575,0.0026575
91,9438.95,0.72496,0.34682,1.00396,0.9746,0.97303,0.99196,0.80819,0.76372,0.28068,0.99245,0.002575,0.002575,0.002575
92,9541.73,0.72623,0.3446,1.00449,0.97649,0.9715,0.99195,0.80853,0.76356,0.2799,0.99264,0.0024925,0.0024925,0.0024925
93,9644.92,0.7217,0.34352,0.99886,0.97797,0.97139,0.99197,0.80782,0.76381,0.27971,0.99267,0.00241,0.00241,0.00241
94,9748.27,0.7226,0.34057,0.99997,0.97597,0.97139,0.99186,0.80738,0.76395,0.27933,0.99297,0.0023275,0.0023275,0.0023275
95,9851.02,0.72417,0.34578,1.00328,0.97279,0.97303,0.99175,0.80712,0.76401,0.27917,0.99354,0.002245,0.002245,0.002245
96,9953.96,0.72063,0.34171,1.00415,0.9726,0.97551,0.99175,0.8075,0.76365,0.27897,0.99368,0.0021625,0.0021625,0.0021625
97,10057.2,0.72307,0.34271,1.00154,0.97211,0.97567,0.99175,0.80798,0.76335,0.27911,0.99324,0.00208,0.00208,0.00208
98,10159.9,0.71536,0.33874,0.99637,0.97258,0.97659,0.99189,0.80794,0.7635,0.27894,0.9931,0.0019975,0.0019975,0.0019975
99,10262.6,0.71333,0.33558,0.991,0.973,0.97557,0.99187,0.80806,0.76367,0.27882,0.99275,0.001915,0.001915,0.001915
100,10365.3,0.71418,0.33388,0.9954,0.97278,0.97557,0.99186,0.80791,0.76355,0.2787,0.99247,0.0018325,0.0018325,0.0018325
101,10468.2,0.70697,0.33275,0.99309,0.9731,0.97564,0.99188,0.8076,0.76355,0.27858,0.99251,0.00175,0.00175,0.00175
102,10570.9,0.71552,0.33455,0.99841,0.9731,0.97564,0.99192,0.80816,0.76392,0.27808,0.99255,0.0016675,0.0016675,0.0016675
103,10674.1,0.70899,0.33047,0.9926,0.97359,0.97506,0.99189,0.8077,0.7641,0.27807,0.99258,0.001585,0.001585,0.001585
104,10777,0.70054,0.32631,0.99081,0.97307,0.97506,0.99186,0.80766,0.76416,0.27795,0.99268,0.0015025,0.0015025,0.0015025
105,10880.1,0.70404,0.3291,0.99547,0.97326,0.97455,0.99191,0.80787,0.7643,0.27759,0.9931,0.00142,0.00142,0.00142
106,10982.2,0.69789,0.3265,0.99225,0.97294,0.97455,0.99194,0.80713,0.76454,0.27752,0.99348,0.0013375,0.0013375,0.0013375
107,11085.3,0.69396,0.32434,0.98899,0.9729,0.97455,0.99195,0.80697,0.76473,0.27759,0.99373,0.001255,0.001255,0.001255
108,11188.3,0.6983,0.32531,0.99285,0.97375,0.97455,0.99199,0.80735,0.76483,0.27759,0.99411,0.0011725,0.0011725,0.0011725
109,11290.9,0.69634,0.3253,0.9963,0.97597,0.9716,0.99201,0.8076,0.76501,0.27777,0.99459,0.00109,0.00109,0.00109
110,11393.8,0.69189,0.32222,0.98944,0.97365,0.97405,0.99206,0.80808,0.76505,0.27778,0.99477,0.0010075,0.0010075,0.0010075
111,11535.9,0.66576,0.27136,0.98271,0.97345,0.97405,0.99208,0.80815,0.76497,0.27771,0.99479,0.000925,0.000925,0.000925
112,11636.7,0.66083,0.26937,0.97859,0.97454,0.97389,0.99205,0.80787,0.76506,0.27748,0.99493,0.0008425,0.0008425,0.0008425
113,11737.9,0.65225,0.26616,0.97411,0.97452,0.97301,0.99197,0.80801,0.76532,0.2776,0.99513,0.00076,0.00076,0.00076
114,11840,0.65502,0.26644,0.97573,0.97451,0.97278,0.99195,0.80722,0.76572,0.27752,0.99532,0.0006775,0.0006775,0.0006775
115,11941.4,0.64847,0.26416,0.97303,0.97492,0.97252,0.99195,0.80751,0.76582,0.2779,0.99546,0.000595,0.000595,0.000595
116,12043.4,0.64689,0.26067,0.97326,0.97442,0.97303,0.99193,0.80751,0.76604,0.27789,0.99564,0.0005125,0.0005125,0.0005125
117,12145,0.64721,0.26115,0.96974,0.97502,0.97252,0.99192,0.80746,0.76601,0.27746,0.99568,0.00043,0.00043,0.00043
118,12246.6,0.64284,0.25835,0.96856,0.97501,0.97252,0.99194,0.80776,0.76621,0.27767,0.9958,0.0003475,0.0003475,0.0003475
119,12348,0.6394,0.25752,0.96522,0.97451,0.97275,0.99193,0.80808,0.76646,0.27757,0.99596,0.000265,0.000265,0.000265
120,12448.6,0.63578,0.25504,0.96601,0.9745,0.97303,0.99194,0.80803,0.76679,0.27743,0.99624,0.0001825,0.0001825,0.0001825
