epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,8209.8,0.72811,0.34917,1.09189,0.96884,0.97889,0.9927,0.82816,0.71196,0.3077,1.10084,0.0006305,0.0006305,0.0006305
85,8307.31,0.72208,0.34833,1.08385,0.98032,0.97186,0.99274,0.82711,0.71721,0.30687,1.10298,0.000614,0.000614,0.000614
86,8404.71,0.71322,0.34236,1.08145,0.98021,0.9701,0.99294,0.83266,0.70538,0.30215,1.09895,0.0005975,0.0005975,0.0005975
87,8502.48,0.70972,0.34275,1.07984,0.97545,0.97831,0.99264,0.82813,0.70709,0.30415,1.09364,0.000581,0.000581,0.000581
88,8600.11,0.72004,0.33796,1.08648,0.97795,0.97505,0.99237,0.83107,0.70966,0.30069,1.09573,0.0005645,0.0005645,0.0005645
89,8697.69,0.7088,0.335,1.07846,0.97606,0.97801,0.99289,0.83087,0.70895,0.30027,1.09491,0.000548,0.000548,0.000548
90,8794.81,0.70803,0.33493,1.08298,0.96962,0.9826,0.99288,0.83316,0.70788,0.29808,1.09517,0.0005315,0.0005315,0.0005315
91,8893.01,0.71129,0.33848,1.08316,0.97212,0.98143,0.99294,0.83315,0.70723,0.29537,1.09446,0.000515,0.000515,0.000515
92,8990.85,0.70337,0.33622,1.0776,0.96956,0.98039,0.99214,0.82909,0.71119,0.29987,1.09451,0.0004985,0.0004985,0.0004985
93,9088.14,0.70664,0.33425,1.07769,0.97152,0.97977,0.99317,0.83314,0.71208,0.29764,1.09934,0.000482,0.000482,0.000482
94,9185.73,0.70529,0.33496,1.08549,0.97187,0.98417,0.99309,0.83429,0.70535,0.29321,1.0998,0.0004655,0.0004655,0.0004655
95,9283.43,0.7133,0.33815,1.08531,0.9721,0.98054,0.99269,0.83284,0.70712,0.29516,1.09909,0.000449,0.000449,0.000449
96,9380.97,0.70304,0.33608,1.07197,0.97019,0.97889,0.99275,0.83505,0.70668,0.29043,1.09856,0.0004325,0.0004325,0.0004325
97,9478.69,0.70207,0.32985,1.07214,0.9689,0.97977,0.99214,0.83246,0.70303,0.29044,1.09067,0.000416,0.000416,0.000416
98,9576.4,0.69878,0.32874,1.06916,0.9712,0.97977,0.99276,0.83332,0.70401,0.28829,1.09387,0.0003995,0.0003995,0.0003995
99,9674.2,0.70825,0.32851,1.07218,0.97373,0.97805,0.99296,0.83768,0.70398,0.29131,1.07866,0.000383,0.000383,0.000383
100,9771.91,0.69343,0.32891,1.05799,0.97964,0.97322,0.99264,0.83559,0.70562,0.28732,1.08364,0.0003665,0.0003665,0.0003665
101,9869.2,0.69412,0.32937,1.06985,0.97511,0.97449,0.99283,0.83174,0.70447,0.28939,1.0889,0.00035,0.00035,0.00035
102,9967.35,0.68347,0.32023,1.06012,0.96767,0.98065,0.99262,0.83645,0.70538,0.29358,1.08982,0.0003335,0.0003335,0.0003335
103,10064.7,0.68383,0.322,1.06679,0.97094,0.97977,0.99275,0.83622,0.70349,0.29482,1.0916,0.000317,0.000317,0.000317
104,10162.3,0.68696,0.31861,1.06347,0.96556,0.98645,0.99259,0.83548,0.69521,0.28594,1.08233,0.0003005,0.0003005,0.0003005
